"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"663",2014-02-19,99.745,99.745,99.745,99.745,0,3094
"664",2014-02-18,99.74,99.74,99.74,99.735,5,3099
"665",2014-02-17,99.745,99.745,99.74,99.74,102,3134
"666",2014-02-16,99.75,99.75,99.73,99.725,13,2942
"667",2014-02-15,99.75,99.75,99.73,99.725,13,2942
"668",2014-02-14,99.745,99.745,99.745,99.745,0,3134
"669",2014-02-13,99.745,99.745,99.745,99.745,0,3134
"670",2014-02-12,99.73,99.73,99.73,99.735,250,2934
"671",2014-02-11,99.73,99.73,99.73,99.73,0,2934
"672",2014-02-10,99.73,99.73,99.73,99.73,0,2934
"673",2014-02-09,99.75,99.75,99.73,99.725,13,2942
"674",2014-02-08,99.75,99.75,99.73,99.725,13,2942
"675",2014-02-07,99.735,99.735,99.735,99.735,0,2934
"676",2014-02-06,99.75,99.75,99.73,99.725,13,2942
"677",2014-02-05,99.75,99.75,99.75,99.75,0,2942
"678",2014-02-04,99.755,99.755,99.755,99.755,31,2971
"679",2014-02-03,99.75,99.75,99.75,99.75,0,2971
"680",2014-01-31,99.75,99.75,99.75,99.75,0,2971
"681",2014-01-30,99.72,99.72,99.72,99.725,100,3071
"682",2014-01-29,99.71,99.71,99.71,99.71,0,3071
"683",2014-01-28,99.7,99.705,99.7,99.71,111,3077
"684",2014-01-27,99.7,99.7,99.7,99.7,0,3077
"685",2014-01-24,99.705,99.71,99.705,99.71,100,3027
"686",2014-01-23,99.72,99.72,99.72,99.72,0,3027
"687",2014-01-22,99.7,99.7,99.7,99.7,1,3028
"688",2014-01-21,99.7,99.7,99.7,99.7,0,3028
"689",2014-01-20,99.7,99.7,99.7,99.705,15,3018
"690",2014-01-18,99.69,99.69,99.69,99.7,250,3184
"691",2014-01-17,99.69,99.69,99.69,99.7,250,3184
"692",2014-01-16,99.68,99.68,99.68,99.68,0,3184
"693",2014-01-15,99.675,99.675,99.675,99.675,0,3184
"694",2014-01-14,99.7,99.7,99.7,99.685,1,3184
"695",2014-01-13,99.7,99.7,99.7,99.705,6,3182
"696",2014-01-09,99.705,99.705,99.705,99.705,0,3182
"697",2014-01-08,99.71,99.715,99.705,99.695,439,3065
"698",2014-01-07,99.715,99.715,99.715,99.715,98,3043
"699",2014-01-06,99.725,99.725,99.725,99.725,0,3043
